Group,Br_MCR,NB_MCR,Exposure,Vulnerability,Hazard,Norm_Exposure,Norm_Vulnerability,Norm_Hazard,Risk,Norm_Risk
22_13,22,13,0.061233212,7.681818182,1.032792689,16.39022834,21.42307692,62.94554797,22102.01503,0.046245486
22_14,22,14,0.036305757,7.884615385,1.185282757,7.930270448,22.96745562,78.86131536,14363.65287,0.029970667
22_15,22,15,0.033843681,7.380952381,0.92155224,7.094683508,19.13186813,51.33510585,6967.947456,0.014416502
22_16,22,16,0.083028638,7.714285714,1.043730545,23.78722809,21.67032967,64.08715913,33035.46132,0.069239997
22_18,22,18,0.026366204,7.590909091,1.043292858,4.556953917,20.73076923,64.04147673,6049.944516,0.012485818
22_20,22,20,0.120094765,8,1.067749216,36.36684649,23.84615385,66.59404759,57750.98515,0.121220075
22_22,22,22,0.226248799,7.84,1.006294107,72.39373466,22.62769231,60.17982507,98580.7612,0.207090597
22_24,22,24,0.118049369,8.117647059,1.168017302,35.67267346,24.74208145,77.05927688,68013.76554,0.142804085
22_28,22,28,0.05162238,7.827586207,1.197054032,13.12847415,22.5331565,80.08991254,23692.67547,0.049590859
22_31,22,31,0.044816768,8.125,0.99783017,10.81876421,24.79807692,59.296423,15908.31399,0.033219298
22_33,22,33,0.042008078,7.666666667,0.931510308,9.865542171,21.30769231,52.3744541,11009.73545,0.022916927
22_122,22,122,0.085290157,9.4,0.923642604,24.55474972,34.50769231,51.55328234,43682.52663,0.09163221
22_134,22,134,0.060419882,8.5,0.868805439,16.11419777,27.65384615,45.82979116,20422.65073,0.042713556
22_136,22,136,0.120353273,11,1.021694246,36.45457969,46.69230769,61.78717586,105170.9457,0.220950643
22_141,22,141,0.065777016,10,0.710234536,17.93231868,39.07692308,29.27935192,20517.20831,0.042912424
22_143,22,143,0.05461879,8,0.935808077,14.1454049,23.84615385,52.82302294,17817.91882,0.037235454
22_144,22,144,0.140108657,12,0.996179832,43.1592236,54.30769231,59.12417306,138579.8388,0.291214048
22_145,22,145,0.069681279,10,0.972186576,19.25735979,39.07692308,56.61993736,42607.54282,0.089371374
22_151,22,151,0.065335919,8.714285714,0.898509844,17.78261775,29.28571429,48.93011374,25481.66134,0.053353337
22_152,22,152,0.108437682,10.66666667,0.823551419,32.41062891,44.15384615,41.10651661,58825.64184,0.123480223
22_155,22,155,0.070206243,10,0.741721607,19.43552376,39.07692308,32.56573569,24733.04015,0.051778886
22_156,22,156,0.069619163,10,0.954598028,19.23627848,39.07692308,54.78417685,41180.9685,0.086371096
22_157,22,157,0.053479742,9.285714286,0.927095653,13.75883143,33.63736264,51.91368561,24026.21449,0.050292337
22_162,22,162,0.055470554,8.125,0.890886224,14.43447922,24.79807692,48.13441749,17229.58603,0.035998111
22_171,22,171,0.048601396,8.333333333,0.899527316,12.10320313,26.38461538,49.03630974,15659.17471,0.032695324
22_173,22,173,0.0395952,9.5,0.891469058,9.046652095,35.26923077,48.19524932,15377.584,0.032103101
22_181,22,181,0.042378559,7.5,0.768449297,9.991277274,20.03846154,35.35537121,7078.492697,0.014648993
22_184,22,184,0.035220788,5,0.893314512,7.562050436,1,48.38786398,365.9114679,0.00053153
22_192,22,192,0.06367942,10,0.684867609,17.22042987,39.07692308,26.63174269,17921.06993,0.037452395
22_201,22,201,0.045936384,8.75,0.902368233,11.1987429,29.55769231,49.33282335,16329.60836,0.034105337
22_202,22,202,0.039304035,5.5,0.823063743,8.947835661,4.807692308,41.05561665,1766.148609,0.003476418
22_203,22,203,0.039359221,5.5,0.705534114,8.966564598,4.807692308,28.78875711,1241.039665,0.002372043
22_204,22,204,0.039267403,5.5,0.755447485,8.935403304,4.807692308,33.99833974,1460.523448,0.002833647
22_205,22,205,0.039081369,5.5,0.874978564,8.872266331,4.807692308,46.47409555,1982.358429,0.003931136
22_211,22,211,0.035095837,5,0.688106341,7.519644307,1,26.9697772,202.8031316,0.000188492
22_212,22,212,0.045730616,8.75,0.995384901,11.12890875,29.55769231,59.0412042,19421.30069,0.040607582
22_213,22,213,0.039439265,5.5,0.91508924,8.993730328,4.807692308,50.66054646,2190.515832,0.004368919
22_214,22,214,0.043802563,7,0.935390697,10.47456022,16.23076923,52.77946,8973.044952,0.018633492
22_221,22,221,0.045656982,8.75,0.866086199,11.10391873,29.55769231,45.5459773,14948.47273,0.031200622
22_222,22,222,0.058227526,10,0.94346948,15.37014932,39.07692308,53.62266269,32206.74407,0.067497093
22_231,22,231,0.043809316,7,0.945803847,10.47685189,16.23076923,53.86630629,9159.823464,0.019026313
22_232,22,232,0.053881819,8,0.554547005,13.89528954,23.84615385,13.02985735,4317.432967,0.008842113
22_241,22,241,0.042133059,7.5,0.739437454,9.907958572,20.03846154,32.32733303,6418.276678,0.01326047
22_242,22,242,0.042432906,7.5,0.541125619,10.00972151,20.03846154,11.62903392,2332.544874,0.004667625
24_5,24,5,0.028321999,8.375,0.915782201,5.220717792,26.70192308,50.73287247,7072.325015,0.014636022
24_9,24,9,0.040558432,7,1.078233817,9.373556734,16.23076923,67.68835144,10298.10824,0.021420279
24_10,24,10,0.05743731,6.8,1.066179793,15.10196319,14.70769231,66.43024296,14755.15527,0.030794049
24_11,24,11,0.065757112,6.875,1.168683026,17.92556356,15.27884615,77.12876018,21124.17354,0.044188953
24_13,24,13,0.051421395,7.470588235,1.194515884,13.06026311,19.81447964,79.82499977,20657.29843,0.043207052
24_14,24,14,0.031377716,8.24,1.347005952,6.257776476,25.67384615,95.74076716,15381.82563,0.032112022
24_15,24,15,0.032297821,8.181818182,1.083275435,6.57004484,25.23076923,68.21455765,11307.74203,0.023543675
24_16,24,16,0.083810149,7.166666667,1.20545374,24.05245986,17.5,80.96661094,34080.3078,0.07143745
24_18,24,18,0.041846493,7.555555556,1.205016053,9.81070283,20.46153846,80.92092854,16244.23497,0.033925785
24_20,24,20,0.094006719,8.743589744,1.229472411,27.51300376,29.50887574,83.4734994,67770.28182,0.142292006
24_22,24,22,0.04450733,7.7,1.168017302,10.71374594,21.56153846,77.05927688,17801.06633,0.037200011
24_24,24,24,0.178102186,8.820512821,1.329740497,56.0535865,30.09467456,93.93872868,158466.5982,0.333038584
24_28,24,28,0.064253742,7.666666667,1.358777227,17.41534527,21.30769231,96.96936434,35983.47109,0.075440059
24_31,24,31,0.117325931,9.142857143,1.159553365,35.42715067,32.54945055,76.1758748,87841.01322,0.184503459
24_33,24,33,0.052417644,8.68,1.093233503,13.39837334,29.02461538,69.25390591,26931.64127,0.056402841
24_122,24,122,0.06641146,9,1.085365799,18.14763838,31.46153846,68.43273414,39071.84905,0.081935334
24_134,24,134,0.052516165,8.375,1.030528635,13.43180973,26.70192308,62.70924297,22490.99296,0.047063559
24_135,24,135,0.099976934,9,1.064532155,29.53919389,31.46153846,66.25827487,61577.02735,0.129266757
24_136,24,136,0.093530046,10.33333333,1.183417441,27.35122898,41.61538462,78.66662767,89540.86616,0.188078479
24_141,24,141,0.059604305,10,0.871957731,15.83740468,39.07692308,46.15880372,28566.62402,0.05984143
24_142,24,142,0.047881304,9.666666667,1.104678678,11.85881613,36.53846154,70.44846728,30525.52496,0.063961262
24_143,24,143,0.052343258,9,1.097531272,13.37312796,31.46153846,69.70247474,29326.56204,0.061439682
24_144,24,144,0.125094154,12,1.157903027,38.06355456,54.30769231,76.00362487,157110.4226,0.330186364
24_145,24,145,0.046979927,10,1.133909772,11.55290386,39.07692308,73.49938917,33181.4415,0.069547013
24_151,24,151,0.054390723,9.235294118,1.06023304,14.06800292,33.25339367,65.80956554,30786.29646,0.0645097
24_152,24,152,0.086785216,10.28571429,0.985274614,25.06214735,41.25274725,57.98596841,59950.67395,0.125846317
24_155,24,155,0.078496457,12.5,0.903444802,22.24908236,58.11538462,49.4451875,63933.31861,0.134222355
24_156,24,156,0.047419169,10,1.116321223,11.70197528,39.07692308,71.66362865,32770.14258,0.068681996
24_157,24,157,0.049181754,9.684210526,1.088818848,12.30016667,36.67206478,68.79313741,31030.69308,0.065023699
24_161,24,161,0.09640608,11,0.949837229,28.32730627,46.69230769,54.28728038,71804.01061,0.150775481
24_162,24,162,0.073969913,8.571428571,1.052609419,20.71284984,28.1978022,65.01386929,37971.79523,0.079621772
24_171,24,171,0.041450801,9.933333333,1.061250511,9.67641176,38.56923077,65.91576155,24600.53726,0.051500215
24_173,24,173,0.143008152,8.6,1.053192253,44.14326346,28.41538462,65.07470112,81626.3088,0.171433098
24_181,24,181,0.035092432,5,0.930172493,7.518488699,1,52.23482302,392.7269266,0.000587927
24_184,24,184,0.058382558,11.33333333,1.055037707,15.42276443,49.23076923,65.26731579,49555.81226,0.103984522
24_191,24,191,0.063189292,13.5,1.060086936,17.05408875,65.73076923,65.79431633,73754.0056,0.154876584
24_192,24,192,0.063362752,13.5,0.846590804,17.11295822,65.73076923,43.51119449,48943.47608,0.102696696
24_201,24,201,0.032883476,9.5,1.064091428,6.768806084,35.26923077,66.21227515,15806.8951,0.033006
24_202,24,202,0.02938677,8.571428571,0.984786938,5.582083272,28.1978022,57.93506845,9119.12345,0.018940715
24_203,24,203,0.048263013,8,0.867257309,11.98836152,23.84615385,45.66820891,13055.45919,0.02721936
24_204,24,204,0.053651433,8.75,0.91717068,13.81710031,29.55769231,50.87779154,20778.57145,0.043462106
24_205,24,205,0.050312525,8,1.036701759,12.68393146,23.84615385,63.35354736,19162.10279,0.040062454
24_211,24,211,0.03505258,5,0.849829536,7.504963586,1,43.84922901,329.086867,0.000454083
24_212,24,212,0.033011987,8.75,1.157108097,6.81242048,29.55769231,75.920656,15287.3399,0.031913305
24_213,24,213,0.042477392,6.666666667,1.076812435,10.02481933,13.69230769,67.53999827,9270.736764,0.019259578
24_214,24,214,0.031739175,9,1.097113892,6.380449666,31.46153846,69.6589118,13983.24376,0.029170616
24_221,24,221,0.031979336,9.333333333,1.027809394,6.461956197,34,62.4254291,13715.27321,0.028607037
24_222,24,222,0.028152734,8.666666667,1.105192676,5.163272174,28.92307692,70.50211449,10528.62491,0.021905086
