dataset_key,duplicate_keys,zotero_keys,data_source,study_code,tech_type,species_code,species,bird_id,age,sex,date_time,year,yday,week,week_date,season,x_coord,y_coord,grid_id,outlier
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17774,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17776,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17776,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.96809,45.31988,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17777,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17777,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.96824,45.31955,6947682,ddd;nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17779,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.96802,45.31995,6947682,
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17779,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.96809,45.31988,6947682,
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17782,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.9681,45.3197,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17782,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.96824,45.31955,6947682,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17785,,,9/18/2013,2013,261,38,1000-09-22,fall,-60.9681,45.3197,6947682,
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17762,,,9/19/2013,2013,262,38,1000-09-22,fall,-61.5423,45.0999,6959978,nmg
mts_birds-canada_rtl_bkpwar,,YWCQ9TPD;36I3ALAV;S324946M;DZCGC5I2,mts,birds-canada-86,rtl,bkpwar,Blackpoll Warbler,17762,,,9/19/2013,2013,262,38,1000-09-22,fall,-62.71641,45.19725,6964069,ddd;nmg
